task_name,module_name,task_status,contract_success,plan_success,oracle_success,render_success,spec_present,rtl_sources,rendered_test_modules,test_module_outcomes,assertion_exact,assertion_guarded,assertion_unresolved,failure_reason_summary,makefile_source_discovery_used
alu,verified_alu,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/alu/verified_alu.v,test_verified_alu_basic;test_verified_alu_edge,test_verified_alu_basic:success/no_failure;test_verified_alu_edge:runtime_error/runtime_test_failure,0,2,22,module_failures=test_verified_alu_edge:runtime_error/runtime_test_failure,False
asyn_fifo,dual_port_RAM,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/asyn_fifo/verified_asyn_fifo.v,test_dual_port_RAM_basic;test_dual_port_RAM_edge,test_dual_port_RAM_basic:success/no_failure;test_dual_port_RAM_edge:success/no_failure,0,0,3,,False
barrel_shifter,barrel_shifter,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/barrel_shifter/verified_barrel_shifter.v,test_barrel_shifter_basic,test_barrel_shifter_basic:success/no_failure,0,0,1,,False
calendar,verified_calendar,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/calendar/verified_calendar.v,test_verified_calendar_basic,test_verified_calendar_basic:success/no_failure,0,0,3,,False
clkgenerator,clkgenerator,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/clkgenerator/verified_clkgenerator.v,test_clkgenerator_basic,test_clkgenerator_basic:success/insufficient_stimulus,0,0,0,module_failures=test_clkgenerator_basic:success/insufficient_stimulus,False
comparator_3bit,comparator_3bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/comparator_3bit/verified_comparator_3bit.v,test_comparator_3bit_basic;test_comparator_3bit_edge,test_comparator_3bit_basic:success/no_failure;test_comparator_3bit_edge:success/no_failure,0,0,12,,False
comparator_4bit,comparator_4bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/comparator_4bit/verified_comparator_4bit.v,test_comparator_4bit_basic;test_comparator_4bit_edge,test_comparator_4bit_basic:success/no_failure;test_comparator_4bit_edge:success/no_failure,0,0,12,,False
counter_12,verified_counter_12,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/counter_12/verified_counter_12.v,test_verified_counter_12_basic;test_verified_counter_12_edge,test_verified_counter_12_basic:success/no_failure;test_verified_counter_12_edge:runtime_error/runtime_test_failure,0,4,5,module_failures=test_verified_counter_12_edge:runtime_error/runtime_test_failure,False
div_16bit,verified_div_16bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/div_16bit/verified_div_16bit.v,test_verified_div_16bit_basic;test_verified_div_16bit_edge,test_verified_div_16bit_basic:success/no_failure;test_verified_div_16bit_edge:success/no_failure,0,4,4,,False
edge_detect,verified_edge_detect,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/edge_detect/verified_edge_detect.v,test_verified_edge_detect_basic;test_verified_edge_detect_edge,test_verified_edge_detect_basic:success/no_failure;test_verified_edge_detect_edge:success/no_failure,0,0,18,,False
fixed_point_adder,fixed_point_adder,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/fixed_point_adder/verified_fixed_point_adder.v,test_fixed_point_adder_basic;test_fixed_point_adder_edge,test_fixed_point_adder_basic:success/no_failure;test_fixed_point_adder_edge:success/no_failure,0,0,4,,False
fixed_point_subtractor,fixed_point_subtractor,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/fixed_point_subtractor/verified_fixed_point_substractor.v,test_fixed_point_subtractor_basic;test_fixed_point_subtractor_edge,test_fixed_point_subtractor_basic:success/no_failure;test_fixed_point_subtractor_edge:success/no_failure,0,0,4,,False
float_multi,float_multi,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/float_multi/verified_float_multi.v,test_float_multi_basic;test_float_multi_edge,test_float_multi_basic:runtime_error/runtime_test_failure;test_float_multi_edge:runtime_error/runtime_test_failure,0,4,5,"module_failures=test_float_multi_basic:runtime_error/runtime_test_failure, test_float_multi_edge:runtime_error/runtime_test_failure",False
freq_div,freq_div,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/freq_div/verified_freq_div.v,test_freq_div_basic,test_freq_div_basic:runtime_error/runtime_test_failure,0,0,0,module_failures=test_freq_div_basic:runtime_error/runtime_test_failure,False
freq_divbyeven,freq_divbyeven,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/freq_divbyeven/verified_freq_divbyeven.v,test_freq_divbyeven_basic,test_freq_divbyeven_basic:runtime_error/runtime_test_failure,0,0,0,module_failures=test_freq_divbyeven_basic:runtime_error/runtime_test_failure,False
freq_divbyfrac,freq_divbyfrac,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/freq_divbyfrac/verified_freq_divbyfrac.v,test_freq_divbyfrac_basic,test_freq_divbyfrac_basic:runtime_error/runtime_test_failure,0,0,0,module_failures=test_freq_divbyfrac_basic:runtime_error/runtime_test_failure,False
freq_divbyodd,freq_divbyodd,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/freq_divbyodd/verified_freq_divbyodd.v,test_freq_divbyodd_basic,test_freq_divbyodd_basic:runtime_error/runtime_test_failure,0,0,0,module_failures=test_freq_divbyodd_basic:runtime_error/runtime_test_failure,False
fsm,verified_fsm,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/fsm/verified_fsm.v,test_verified_fsm_basic;test_verified_fsm_edge,test_verified_fsm_basic:runtime_error/runtime_test_failure;test_verified_fsm_edge:runtime_error/runtime_test_failure,0,0,9,"module_failures=test_verified_fsm_basic:runtime_error/runtime_test_failure, test_verified_fsm_edge:runtime_error/runtime_test_failure",False
instr_reg,instr_reg,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/instr_reg/verified_instr_reg.v,test_instr_reg_basic;test_instr_reg_edge,test_instr_reg_basic:runtime_error/runtime_test_failure;test_instr_reg_edge:runtime_error/runtime_test_failure,0,12,15,"module_failures=test_instr_reg_basic:runtime_error/runtime_test_failure, test_instr_reg_edge:runtime_error/runtime_test_failure",False
multi_16bit,verified_multi_16bit,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_16bit/verified_multi_16bit.v,test_verified_multi_16bit_basic;test_verified_multi_16bit_protocol;test_verified_multi_16bit_edge,test_verified_multi_16bit_basic:runtime_error/runtime_test_failure;test_verified_multi_16bit_protocol:runtime_error/runtime_test_failure;test_verified_multi_16bit_edge:runtime_error/runtime_test_failure,0,14,3,"module_failures=test_verified_multi_16bit_basic:runtime_error/runtime_test_failure, test_verified_multi_16bit_protocol:runtime_error/runtime_test_failure, test_verified_multi_16bit_edge:runtime_error/runtime_test_failure",False
multi_8bit,multi_8bit,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_8bit/verified_multi_8bit.v,test_multi_8bit_basic;test_multi_8bit_edge,test_multi_8bit_basic:runtime_error/runtime_test_failure;test_multi_8bit_edge:runtime_error/runtime_test_failure,0,1,1,"module_failures=test_multi_8bit_basic:runtime_error/runtime_test_failure, test_multi_8bit_edge:runtime_error/runtime_test_failure",False
multi_booth_8bit,verified_multi_booth_8bit,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_booth_8bit/verified_booth4_mul.v,test_verified_multi_booth_8bit_basic;test_verified_multi_booth_8bit_edge,test_verified_multi_booth_8bit_basic:runtime_error/runtime_test_failure;test_verified_multi_booth_8bit_edge:runtime_error/runtime_test_failure,0,4,14,"module_failures=test_verified_multi_booth_8bit_basic:runtime_error/runtime_test_failure, test_verified_multi_booth_8bit_edge:runtime_error/runtime_test_failure",False
multi_pipe_4bit,verified_multi_pipe,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_pipe_4bit/verified_multi_pipe_4bit.v,test_verified_multi_pipe_basic;test_verified_multi_pipe_edge,test_verified_multi_pipe_basic:runtime_error/runtime_test_failure;test_verified_multi_pipe_edge:runtime_error/runtime_test_failure,0,0,9,"module_failures=test_verified_multi_pipe_basic:runtime_error/runtime_test_failure, test_verified_multi_pipe_edge:runtime_error/runtime_test_failure",False
multi_pipe_8bit,verified_multi_pipe_8bit,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_pipe_8bit/verified_multi_pipe_8bit.v,test_verified_multi_pipe_8bit_basic;test_verified_multi_pipe_8bit_edge,test_verified_multi_pipe_8bit_basic:runtime_error/runtime_test_failure;test_verified_multi_pipe_8bit_edge:runtime_error/runtime_test_failure,0,0,18,"module_failures=test_verified_multi_pipe_8bit_basic:runtime_error/runtime_test_failure, test_verified_multi_pipe_8bit_edge:runtime_error/runtime_test_failure",False
parallel2serial,verified_parallel2serial,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/parallel2serial/verified_parallel2serial.v,test_verified_parallel2serial_basic;test_verified_parallel2serial_edge,test_verified_parallel2serial_basic:runtime_error/runtime_test_failure;test_verified_parallel2serial_edge:runtime_error/runtime_test_failure,0,0,10,"module_failures=test_verified_parallel2serial_basic:runtime_error/runtime_test_failure, test_verified_parallel2serial_edge:runtime_error/runtime_test_failure",False
pe,verified_pe,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/pe/verified_pe.v,test_verified_pe_basic;test_verified_pe_edge,test_verified_pe_basic:runtime_error/runtime_test_failure;test_verified_pe_edge:runtime_error/runtime_test_failure,0,4,5,"module_failures=test_verified_pe_basic:runtime_error/runtime_test_failure, test_verified_pe_edge:runtime_error/runtime_test_failure",False
pulse_detect,verified_pulse_detect,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/pulse_detect/verified_pulse_detect.v,test_verified_pulse_detect_basic;test_verified_pulse_detect_edge,test_verified_pulse_detect_basic:runtime_error/runtime_test_failure;test_verified_pulse_detect_edge:runtime_error/runtime_test_failure,0,0,9,"module_failures=test_verified_pulse_detect_basic:runtime_error/runtime_test_failure, test_verified_pulse_detect_edge:runtime_error/runtime_test_failure",False
radix2_div,verified_radix2_div,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/radix2_div/verified_radix2_div.v,test_verified_radix2_div_basic;test_verified_radix2_div_protocol;test_verified_radix2_div_edge,test_verified_radix2_div_basic:runtime_error/runtime_test_failure;test_verified_radix2_div_protocol:runtime_error/runtime_test_failure;test_verified_radix2_div_edge:runtime_error/runtime_test_failure,0,23,7,"module_failures=test_verified_radix2_div_basic:runtime_error/runtime_test_failure, test_verified_radix2_div_protocol:runtime_error/runtime_test_failure, test_verified_radix2_div_edge:runtime_error/runtime_test_failure",False
right_shifter,verified_right_shifter,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/right_shifter/verified_right_shifter.v,test_verified_right_shifter_basic;test_verified_right_shifter_edge,test_verified_right_shifter_basic:runtime_error/runtime_test_failure;test_verified_right_shifter_edge:runtime_error/runtime_test_failure,0,4,2,"module_failures=test_verified_right_shifter_basic:runtime_error/runtime_test_failure, test_verified_right_shifter_edge:runtime_error/runtime_test_failure",False
ring_counter,ring_counter,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/ring_counter/verified_ring_counter.v,test_ring_counter_basic,test_ring_counter_basic:runtime_error/runtime_test_failure,0,0,5,module_failures=test_ring_counter_basic:runtime_error/runtime_test_failure,False
sequence_detector,sequence_detector,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/sequence_detector/verified_sequence_detector.v,test_sequence_detector_basic,test_sequence_detector_basic:runtime_error/runtime_test_failure,0,0,3,module_failures=test_sequence_detector_basic:runtime_error/runtime_test_failure,False
serial2parallel,verified_serial2parallel,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/serial2parallel/verified_serial2parallel.v,test_verified_serial2parallel_basic;test_verified_serial2parallel_edge,test_verified_serial2parallel_basic:runtime_error/runtime_test_failure;test_verified_serial2parallel_edge:runtime_error/runtime_test_failure,0,2,8,"module_failures=test_verified_serial2parallel_basic:runtime_error/runtime_test_failure, test_verified_serial2parallel_edge:runtime_error/runtime_test_failure",False
signal_generator,verified_signal_generator,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/signal_generator/verified_signal_generator.v,test_verified_signal_generator_basic,test_verified_signal_generator_basic:runtime_error/runtime_test_failure,0,0,5,module_failures=test_verified_signal_generator_basic:runtime_error/runtime_test_failure,False
square_wave,square_wave,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/square_wave/verified_square_wave.v,test_square_wave_basic,test_square_wave_basic:runtime_error/runtime_test_failure,0,0,2,module_failures=test_square_wave_basic:runtime_error/runtime_test_failure,False
sub_64bit,sub_64bit,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/sub_64bit/verified_sub_64bit.v,test_sub_64bit_basic;test_sub_64bit_edge,test_sub_64bit_basic:runtime_error/runtime_test_failure;test_sub_64bit_edge:runtime_error/runtime_test_failure,0,1,3,"module_failures=test_sub_64bit_basic:runtime_error/runtime_test_failure, test_sub_64bit_edge:runtime_error/runtime_test_failure",False
synchronizer,verified_synchronizer,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/synchronizer/verified_synchronizer.v,test_verified_synchronizer_basic;test_verified_synchronizer_edge,test_verified_synchronizer_basic:runtime_error/runtime_test_failure;test_verified_synchronizer_edge:runtime_error/runtime_test_failure,0,2,3,"module_failures=test_verified_synchronizer_basic:runtime_error/runtime_test_failure, test_verified_synchronizer_edge:runtime_error/runtime_test_failure",False
traffic_light,verified_traffic_light,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/traffic_light/verified_traffic_light.v,test_verified_traffic_light_basic;test_verified_traffic_light_edge,test_verified_traffic_light_basic:runtime_error/runtime_test_failure;test_verified_traffic_light_edge:runtime_error/runtime_test_failure,0,0,15,"module_failures=test_verified_traffic_light_basic:runtime_error/runtime_test_failure, test_verified_traffic_light_edge:runtime_error/runtime_test_failure",False
up_down_counter,up_down_counter,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/up_down_counter/verified_up_down_counter.v,test_up_down_counter_basic,test_up_down_counter_basic:runtime_error/runtime_test_failure,0,0,5,module_failures=test_up_down_counter_basic:runtime_error/runtime_test_failure,False
width_8to16,verified_width_8to16,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/width_8to16/verified_width_8to16.v,test_verified_width_8to16_basic;test_verified_width_8to16_edge,test_verified_width_8to16_basic:runtime_error/runtime_test_failure;test_verified_width_8to16_edge:runtime_error/runtime_test_failure,0,2,8,"module_failures=test_verified_width_8to16_basic:runtime_error/runtime_test_failure, test_verified_width_8to16_edge:runtime_error/runtime_test_failure",False
