task_name,module_name,task_status,contract_success,plan_success,oracle_success,render_success,spec_present,rtl_sources,rendered_test_modules,llm_plan_status,llm_oracle_status,test_module_outcomes,assertion_exact,assertion_guarded,assertion_unresolved,failure_reason_summary,makefile_source_discovery_used
adder_pipe_64bit,verified_adder_64bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/adder_pipe_64bit/verified_adder_64bit.v,test_verified_adder_64bit_basic;test_verified_adder_64bit_protocol;test_verified_adder_64bit_edge,merged,fallback,test_verified_adder_64bit_basic:success/no_failure;test_verified_adder_64bit_protocol:success/no_failure;test_verified_adder_64bit_edge:success/no_failure,0,0,22,,False
alu,verified_alu,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/alu/verified_alu.v,test_verified_alu_basic;test_verified_alu_edge,merged,merged,test_verified_alu_basic:runtime_error/runtime_test_failure;test_verified_alu_edge:runtime_error/runtime_test_failure,0,6,42,"module_failures=test_verified_alu_basic:runtime_error/runtime_test_failure, test_verified_alu_edge:runtime_error/runtime_test_failure",False
asyn_fifo,dual_port_RAM,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/asyn_fifo/verified_asyn_fifo.v,test_dual_port_RAM_basic;test_dual_port_RAM_protocol;test_dual_port_RAM_edge,merged,fallback,test_dual_port_RAM_basic:success/no_failure;test_dual_port_RAM_protocol:success/no_failure;test_dual_port_RAM_edge:success/no_failure,0,0,6,,False
barrel_shifter,barrel_shifter,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/barrel_shifter/verified_barrel_shifter.v,test_barrel_shifter_basic;test_barrel_shifter_edge,merged,fallback,test_barrel_shifter_basic:success/no_failure;test_barrel_shifter_edge:success/insufficient_stimulus,0,0,2,module_failures=test_barrel_shifter_edge:success/insufficient_stimulus,False
calendar,verified_calendar,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/calendar/verified_calendar.v,test_verified_calendar_basic;test_verified_calendar_edge,merged,fallback,test_verified_calendar_basic:success/no_failure;test_verified_calendar_edge:success/no_failure,0,0,15,,False
clkgenerator,clkgenerator,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/clkgenerator/verified_clkgenerator.v,test_clkgenerator_basic;test_clkgenerator_edge,merged,merged,test_clkgenerator_basic:success/insufficient_stimulus;test_clkgenerator_edge:success/insufficient_stimulus,0,0,3,"module_failures=test_clkgenerator_basic:success/insufficient_stimulus, test_clkgenerator_edge:success/insufficient_stimulus",False
comparator_3bit,comparator_3bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/comparator_3bit/verified_comparator_3bit.v,test_comparator_3bit_basic;test_comparator_3bit_edge,merged,merged,test_comparator_3bit_basic:success/no_failure;test_comparator_3bit_edge:success/no_failure,0,0,24,,False
comparator_4bit,comparator_4bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/comparator_4bit/verified_comparator_4bit.v,test_comparator_4bit_basic;test_comparator_4bit_edge,merged,merged,test_comparator_4bit_basic:success/no_failure;test_comparator_4bit_edge:success/no_failure,0,0,27,,False
counter_12,verified_counter_12,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/counter_12/verified_counter_12.v,test_verified_counter_12_basic;test_verified_counter_12_edge,merged,fallback,test_verified_counter_12_basic:success/no_failure;test_verified_counter_12_edge:runtime_error/runtime_test_failure,0,5,6,module_failures=test_verified_counter_12_edge:runtime_error/runtime_test_failure,False
div_16bit,verified_div_16bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/div_16bit/verified_div_16bit.v,test_verified_div_16bit_basic;test_verified_div_16bit_edge,merged,fallback,test_verified_div_16bit_basic:success/no_failure;test_verified_div_16bit_edge:success/no_failure,0,8,8,,False
edge_detect,verified_edge_detect,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/edge_detect/verified_edge_detect.v,test_verified_edge_detect_basic;test_verified_edge_detect_edge,merged,fallback,test_verified_edge_detect_basic:success/no_failure;test_verified_edge_detect_edge:success/no_failure,0,0,24,,False
fixed_point_adder,fixed_point_adder,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/fixed_point_adder/verified_fixed_point_adder.v,test_fixed_point_adder_basic;test_fixed_point_adder_edge,merged,fallback,test_fixed_point_adder_basic:success/no_failure;test_fixed_point_adder_edge:success/no_failure,0,0,7,,False
fixed_point_subtractor,fixed_point_subtractor,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/fixed_point_subtractor/verified_fixed_point_substractor.v,test_fixed_point_subtractor_basic;test_fixed_point_subtractor_edge,merged,fallback,test_fixed_point_subtractor_basic:success/no_failure;test_fixed_point_subtractor_edge:success/no_failure,0,0,6,,False
float_multi,float_multi,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/float_multi/verified_float_multi.v,test_float_multi_basic;test_float_multi_edge,merged,merged,test_float_multi_basic:success/no_failure;test_float_multi_edge:runtime_error/runtime_test_failure,0,7,7,module_failures=test_float_multi_edge:runtime_error/runtime_test_failure,False
freq_div,freq_div,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/freq_div/verified_freq_div.v,test_freq_div_basic;test_freq_div_edge,merged,merged,test_freq_div_basic:success/no_failure;test_freq_div_edge:success/no_failure,0,0,21,,False
freq_divbyeven,freq_divbyeven,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/freq_divbyeven/verified_freq_divbyeven.v,test_freq_divbyeven_basic;test_freq_divbyeven_edge,merged,fallback,test_freq_divbyeven_basic:success/no_failure;test_freq_divbyeven_edge:success/no_failure,0,0,4,,False
freq_divbyfrac,freq_divbyfrac,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/freq_divbyfrac/verified_freq_divbyfrac.v,test_freq_divbyfrac_basic;test_freq_divbyfrac_edge,merged,merged,test_freq_divbyfrac_basic:success/no_failure;test_freq_divbyfrac_edge:success/no_failure,0,0,12,,False
freq_divbyodd,freq_divbyodd,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/freq_divbyodd/verified_freq_divbyodd.v,test_freq_divbyodd_basic;test_freq_divbyodd_edge,merged,merged,test_freq_divbyodd_basic:success/no_failure;test_freq_divbyodd_edge:success/no_failure,0,0,11,,False
fsm,verified_fsm,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/fsm/verified_fsm.v,test_verified_fsm_basic;test_verified_fsm_edge,merged,merged,test_verified_fsm_basic:success/no_failure;test_verified_fsm_edge:success/no_failure,0,0,18,,False
instr_reg,instr_reg,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/instr_reg/verified_instr_reg.v,test_instr_reg_basic;test_instr_reg_edge,merged,merged,test_instr_reg_basic:success/no_failure;test_instr_reg_edge:runtime_error/runtime_test_failure,0,12,21,module_failures=test_instr_reg_edge:runtime_error/runtime_test_failure,False
multi_16bit,verified_multi_16bit,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_16bit/verified_multi_16bit.v,test_verified_multi_16bit_basic;test_verified_multi_16bit_protocol;test_verified_multi_16bit_edge,merged,merged,test_verified_multi_16bit_basic:success/no_failure;test_verified_multi_16bit_protocol:runtime_error/runtime_test_failure;test_verified_multi_16bit_edge:runtime_error/runtime_test_failure,0,18,7,"module_failures=test_verified_multi_16bit_protocol:runtime_error/runtime_test_failure, test_verified_multi_16bit_edge:runtime_error/runtime_test_failure",False
multi_8bit,multi_8bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_8bit/verified_multi_8bit.v,test_multi_8bit_basic;test_multi_8bit_edge,merged,merged,test_multi_8bit_basic:success/no_failure;test_multi_8bit_edge:success/no_failure,0,5,1,,False
multi_booth_8bit,verified_multi_booth_8bit,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_booth_8bit/verified_booth4_mul.v,test_verified_multi_booth_8bit_basic;test_verified_multi_booth_8bit_protocol;test_verified_multi_booth_8bit_edge,merged,merged,test_verified_multi_booth_8bit_basic:success/no_failure;test_verified_multi_booth_8bit_protocol:runtime_error/runtime_test_failure;test_verified_multi_booth_8bit_edge:runtime_error/runtime_test_failure,0,8,22,"module_failures=test_verified_multi_booth_8bit_protocol:runtime_error/runtime_test_failure, test_verified_multi_booth_8bit_edge:runtime_error/runtime_test_failure",False
multi_pipe_4bit,verified_multi_pipe,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_pipe_4bit/verified_multi_pipe_4bit.v,test_verified_multi_pipe_basic;test_verified_multi_pipe_edge,merged,fallback,test_verified_multi_pipe_basic:success/no_failure;test_verified_multi_pipe_edge:success/no_failure,0,0,12,,False
multi_pipe_8bit,verified_multi_pipe_8bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/multi_pipe_8bit/verified_multi_pipe_8bit.v,test_verified_multi_pipe_8bit_basic;test_verified_multi_pipe_8bit_protocol;test_verified_multi_pipe_8bit_edge,merged,fallback,test_verified_multi_pipe_8bit_basic:success/no_failure;test_verified_multi_pipe_8bit_protocol:success/no_failure;test_verified_multi_pipe_8bit_edge:success/no_failure,0,0,22,,False
parallel2serial,verified_parallel2serial,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/parallel2serial/verified_parallel2serial.v,test_verified_parallel2serial_basic;test_verified_parallel2serial_protocol;test_verified_parallel2serial_edge,merged,merged,test_verified_parallel2serial_basic:success/no_failure;test_verified_parallel2serial_protocol:success/no_failure;test_verified_parallel2serial_edge:success/no_failure,0,0,16,,False
pe,verified_pe,failed,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/pe/verified_pe.v,test_verified_pe_basic;test_verified_pe_edge,merged,merged,test_verified_pe_basic:runtime_error/runtime_test_failure;test_verified_pe_edge:runtime_error/runtime_test_failure,0,4,7,"module_failures=test_verified_pe_basic:runtime_error/runtime_test_failure, test_verified_pe_edge:runtime_error/runtime_test_failure",False
pulse_detect,verified_pulse_detect,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/pulse_detect/verified_pulse_detect.v,test_verified_pulse_detect_basic;test_verified_pulse_detect_edge,merged,merged,test_verified_pulse_detect_basic:success/no_failure;test_verified_pulse_detect_edge:success/no_failure,0,0,13,,False
radix2_div,verified_radix2_div,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/radix2_div/verified_radix2_div.v,test_verified_radix2_div_basic;test_verified_radix2_div_protocol;test_verified_radix2_div_edge,merged,merged,test_verified_radix2_div_basic:success/no_failure;test_verified_radix2_div_protocol:success/no_failure;test_verified_radix2_div_edge:runtime_error/runtime_test_failure,0,32,12,module_failures=test_verified_radix2_div_edge:runtime_error/runtime_test_failure,False
right_shifter,verified_right_shifter,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/right_shifter/verified_right_shifter.v,test_verified_right_shifter_basic;test_verified_right_shifter_edge,merged,merged,test_verified_right_shifter_basic:success/no_failure;test_verified_right_shifter_edge:success/no_failure,0,5,5,,False
ring_counter,ring_counter,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/ring_counter/verified_ring_counter.v,test_ring_counter_basic;test_ring_counter_edge,merged,fallback,test_ring_counter_basic:success/no_failure;test_ring_counter_edge:success/no_failure,0,2,5,,False
sequence_detector,sequence_detector,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/sequence_detector/verified_sequence_detector.v,test_sequence_detector_basic;test_sequence_detector_edge,merged,merged,test_sequence_detector_basic:success/no_failure;test_sequence_detector_edge:success/no_failure,0,0,11,,False
serial2parallel,verified_serial2parallel,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/serial2parallel/verified_serial2parallel.v,test_verified_serial2parallel_basic;test_verified_serial2parallel_edge,fallback,merged,test_verified_serial2parallel_basic:success/no_failure;test_verified_serial2parallel_edge:runtime_error/runtime_test_failure,0,2,8,module_failures=test_verified_serial2parallel_edge:runtime_error/runtime_test_failure,False
signal_generator,verified_signal_generator,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/signal_generator/verified_signal_generator.v,test_verified_signal_generator_basic;test_verified_signal_generator_edge,merged,merged,test_verified_signal_generator_basic:success/no_failure;test_verified_signal_generator_edge:success/no_failure,0,0,7,,False
square_wave,square_wave,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/square_wave/verified_square_wave.v,test_square_wave_basic;test_square_wave_edge,merged,merged,test_square_wave_basic:success/no_failure;test_square_wave_edge:success/no_failure,0,0,10,,False
sub_64bit,sub_64bit,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/sub_64bit/verified_sub_64bit.v,test_sub_64bit_basic;test_sub_64bit_edge,merged,merged,test_sub_64bit_basic:success/no_failure;test_sub_64bit_edge:success/no_failure,0,1,7,,False
synchronizer,verified_synchronizer,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/synchronizer/verified_synchronizer.v,test_verified_synchronizer_basic;test_verified_synchronizer_protocol;test_verified_synchronizer_edge,merged,merged,test_verified_synchronizer_basic:success/no_failure;test_verified_synchronizer_protocol:success/no_failure;test_verified_synchronizer_edge:success/no_failure,0,4,5,,False
traffic_light,verified_traffic_light,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/traffic_light/verified_traffic_light.v,test_verified_traffic_light_basic;test_verified_traffic_light_edge,merged,merged,test_verified_traffic_light_basic:success/no_failure;test_verified_traffic_light_edge:runtime_error/runtime_test_failure,0,4,46,module_failures=test_verified_traffic_light_edge:runtime_error/runtime_test_failure,False
up_down_counter,up_down_counter,partial_success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/up_down_counter/verified_up_down_counter.v,test_up_down_counter_basic;test_up_down_counter_edge,merged,fallback,test_up_down_counter_basic:success/no_failure;test_up_down_counter_edge:runtime_error/runtime_test_failure,0,2,5,module_failures=test_up_down_counter_edge:runtime_error/runtime_test_failure,False
width_8to16,verified_width_8to16,success,True,True,True,True,True,/workspace/I/qimeng6/wangchuanhao/QiMeng-Agent/VerilogBenchmark/Benchmarks/RTLLM_for_ivl/width_8to16/verified_width_8to16.v,test_verified_width_8to16_basic;test_verified_width_8to16_protocol;test_verified_width_8to16_edge,merged,fallback,test_verified_width_8to16_basic:success/no_failure;test_verified_width_8to16_protocol:success/no_failure;test_verified_width_8to16_edge:success/no_failure,0,1,13,,False
